professor,projeto,resumo
ADRIANA BORDINI,ExpPC Explorando o Pensamento Computacional para a Qualificação do Ensino Fundamental,Extensão
ADRIANA BORDINI,ExpPC Explorando o Pensamento Computacional para a Qualificação do Ensino Fundamental,02/01/2017 - 30/12/2028
ADRIANA BORDINI,ExpPC Explorando o Pensamento Computacional para a Qualificação do Ensino Fundamental,Centro de Desenvolvimento Tecnológico
ADRIANA BORDINI,ExpPC Explorando o Pensamento Computacional para a Qualificação do Ensino Fundamental,SIMONE ANDRE DA COSTA CAVALHEIRO
ADRIANA BORDINI,ExpPC Explorando o Pensamento Computacional para a Qualificação do Ensino Fundamental,Ciências Exatas e da Terra
ADRIANA BORDINI,ExpPC Explorando o Pensamento Computacional para a Qualificação do Ensino Fundamental,Educação / Tecnologia e Produção
ADRIANA BORDINI,ExpPC Explorando o Pensamento Computacional para a Qualificação do Ensino Fundamental,Metodologias e estratégias de ensino/aprendizagem
ADRIANA BORDINI,ExpPC Explorando o Pensamento Computacional para a Qualificação do Ensino Fundamental,"A falta de profissionais bem formados e de mão de obra qualificada é uma realidade no Brasil. A globalização econômica e as inovações tecnológicas mudaram o perfil do profissional requerido pelos diversos setores da economia. Um trabalhador é cobrado por seu conhecimento, desempenho, colaboração, criatividade, pensamento crítico, responsabilidade e capacidade de solucionar problemas. Concomitante a esta realidade, surge o Pensamento Computacional como uma metodologia para resolver problemas capaz de desenvolver muitas das habilidades requeridas hoje pelo mercado de trabalho. Pensamento Computacional é um método para solução de problemas que utiliza como base os fundamentos e técnicas da ciência da computação. De forma geral, habilidades comumente utilizadas na criação de programas computacionais para resolver problemas específicos são utilizadas como uma metodologia para resolver problemas de forma geral. Empresas multinacionais apoiaram esta ideia e se empenharam na disseminação desta metodologia. Diante destas experiências e dos resultados científicos já atingidos neste ramo, este projeto propõe o desenvolvimento de ações para promover o Pensamento Computacional em escolas do Ensino Fundamental do município de Pelotas, como resposta a necessidade de preparar os estudantes de hoje para o mercado de trabalho atual e futuro."
ALAN CARLOS JUNIOR ROSSETTO,Desenvolvimento de metodologias e de ferramentas de simulação elétrica para caracterização da confiabilidade de circuitos integrados,Desenvolvimento de metodologias e de ferramentas de simulação elétrica para caracterização da confiabilidade de circuitos integrados
ALAN CARLOS JUNIOR ROSSETTO,Desenvolvimento de metodologias e de ferramentas de simulação elétrica para caracterização da confiabilidade de circuitos integrados,PESQUISA
ALAN CARLOS JUNIOR ROSSETTO,Desenvolvimento de metodologias e de ferramentas de simulação elétrica para caracterização da confiabilidade de circuitos integrados,08/07/2019 - 08/07/2023
ALAN CARLOS JUNIOR ROSSETTO,Desenvolvimento de metodologias e de ferramentas de simulação elétrica para caracterização da confiabilidade de circuitos integrados,Centro de Engenharias
ALAN CARLOS JUNIOR ROSSETTO,Desenvolvimento de metodologias e de ferramentas de simulação elétrica para caracterização da confiabilidade de circuitos integrados,THIAGO HANNA BOTH
ALAN CARLOS JUNIOR ROSSETTO,Desenvolvimento de metodologias e de ferramentas de simulação elétrica para caracterização da confiabilidade de circuitos integrados,Engenharias - Engenharia Elétrica - Circuitos Eletrônicos
ALAN CARLOS JUNIOR ROSSETTO,Desenvolvimento de metodologias e de ferramentas de simulação elétrica para caracterização da confiabilidade de circuitos integrados,"Desenvolvimento de ferramentas e metodologias para a estimação da confiabilidade de circuitos integrados MOS modernos, considerando impacto de ruído telegráfico e bias temperature instability."
ALAN CARLOS JUNIOR ROSSETTO,"Análise, simulação e caracterização de efeitos de confiabilidade em dispositivos e circuitos eletrônicos integrados","Análise, simulação e caracterização de efeitos de confiabilidade em dispositivos e circuitos eletrônicos integrados"
ALAN CARLOS JUNIOR ROSSETTO,"Análise, simulação e caracterização de efeitos de confiabilidade em dispositivos e circuitos eletrônicos integrados",Pesquisa
ALAN CARLOS JUNIOR ROSSETTO,"Análise, simulação e caracterização de efeitos de confiabilidade em dispositivos e circuitos eletrônicos integrados",02/03/2020 - 01/03/2028
ALAN CARLOS JUNIOR ROSSETTO,"Análise, simulação e caracterização de efeitos de confiabilidade em dispositivos e circuitos eletrônicos integrados",Centro de Desenvolvimento Tecnológico
ALAN CARLOS JUNIOR ROSSETTO,"Análise, simulação e caracterização de efeitos de confiabilidade em dispositivos e circuitos eletrônicos integrados",ALAN CARLOS JUNIOR ROSSETTO
ALAN CARLOS JUNIOR ROSSETTO,"Análise, simulação e caracterização de efeitos de confiabilidade em dispositivos e circuitos eletrônicos integrados",Engenharias
ALAN CARLOS JUNIOR ROSSETTO,"Análise, simulação e caracterização de efeitos de confiabilidade em dispositivos e circuitos eletrônicos integrados","Este projeto detalha as atividades a serem conduzidas a fim de desenvolver, aperfeiçoar e utilizar metodologias e ferramentas para a simulação e caracterização de efeitos decorrentes da atividade de armadilhas de carga e de auto aquecimento em dispositivos e circuitos integrados baseados em tecnologia metal-óxido-semicondutor (MOS). A partir deste projeto espera-se desenvolver e aplicar modelos de simulação para a predição de degradação de desempenho nas mais variadas topologias de dispositivos e circuitos eletrônicos devido à atividade de armadilhas e auto aquecimento, assim como formar recursos humanos na área de microeletrônica."
ALAN CARLOS JUNIOR ROSSETTO,MIPWise: ‘Inteligência Artificial das Coisas’ Aplicada ao Manejo Integrado de Pragas,MIPWise: ‘Inteligência Artificial das Coisas’ Aplicada ao Manejo Integrado de Pragas
ALAN CARLOS JUNIOR ROSSETTO,MIPWise: ‘Inteligência Artificial das Coisas’ Aplicada ao Manejo Integrado de Pragas,Pesquisa
ALAN CARLOS JUNIOR ROSSETTO,MIPWise: ‘Inteligência Artificial das Coisas’ Aplicada ao Manejo Integrado de Pragas,06/02/2023 - 31/08/2026
ALAN CARLOS JUNIOR ROSSETTO,MIPWise: ‘Inteligência Artificial das Coisas’ Aplicada ao Manejo Integrado de Pragas,Centro de Desenvolvimento Tecnológico
ALAN CARLOS JUNIOR ROSSETTO,MIPWise: ‘Inteligência Artificial das Coisas’ Aplicada ao Manejo Integrado de Pragas,FELIPE DE SOUZA MARQUES
ALAN CARLOS JUNIOR ROSSETTO,MIPWise: ‘Inteligência Artificial das Coisas’ Aplicada ao Manejo Integrado de Pragas,Ciências Exatas e da Terra
ALAN CARLOS JUNIOR ROSSETTO,MIPWise: ‘Inteligência Artificial das Coisas’ Aplicada ao Manejo Integrado de Pragas,"Um dos desafios da agricultura é o aprimoramento dos sistemas de produção para atender a demanda crescente por alimentos num contexto de sustentabilidade. Neste contexto, torna-se imprescindível a adoção de tecnologias que visem a melhoria na eficiência do controle de pragas agrícolas, baseadas nos preceitos do Manejo Integrado de Pragas (MIP). A superação desse desafio, passa pela via tecnológica e de inovação, tanto na geração de novos conhecimentos quanto na adaptação e validação em território brasileiro, de iniciativas de sucesso adotadas em outros países, em processo dinâmico capaz de manter a trajetória bem-sucedida da agricultura brasileira. A solução proposta neste projeto passa pela implementação de um ambiente rural com rede local para testes e validação de tecnologias da agricultura 4.0. Além disso, a validação de ferramentas utilizando tecnologias IoT e IA aplicadas ao MIP, visando o aprimoramento de modelos de previsão de infestações baseando-se nas coletas realizadas pelo sistema da startup Partamon (armadilhas inteligentes + estações meteorológicas), configurando uma agricultura automatizada e orientada a dados. Com a disponibilização destas soluções, espera-se um manejo de pragas mais eficiente e ágil, proporcionando impactos positivos, seja no âmbito ambiental (aplicações mais eficientes de defensivos agrícolas e consequente redução da poluição de águas e solos), no âmbito agrícola (preservação das tecnologias envolvidas tanto nas cultivares quanto nos defensivos agrícolas) e no âmbito econômico, com a racionalização do uso de defensivos agrícolas, a redução do uso de mão-de-obra, bem como de prejuízos gerados pela tomada de decisão tardia no controle das pragas."
ALAN CARLOS JUNIOR ROSSETTO,Desenvolvimento de plataforma de monitoramento ambiental aquático,Desenvolvimento de plataforma de monitoramento ambiental aquático
ALAN CARLOS JUNIOR ROSSETTO,Desenvolvimento de plataforma de monitoramento ambiental aquático,Pesquisa
ALAN CARLOS JUNIOR ROSSETTO,Desenvolvimento de plataforma de monitoramento ambiental aquático,24/09/2020 - 22/12/2025
ALAN CARLOS JUNIOR ROSSETTO,Desenvolvimento de plataforma de monitoramento ambiental aquático,Centro de Desenvolvimento Tecnológico
ALAN CARLOS JUNIOR ROSSETTO,Desenvolvimento de plataforma de monitoramento ambiental aquático,LEONARDO CONTREIRA PEREIRA
ALAN CARLOS JUNIOR ROSSETTO,Desenvolvimento de plataforma de monitoramento ambiental aquático,Engenharias
ALAN CARLOS JUNIOR ROSSETTO,Desenvolvimento de plataforma de monitoramento ambiental aquático,"O projeto propõe a formação de grupo de pesquisa com o intuito de desenvolvimento de plataformas de monitoramento ambiental aquático. Exemplos destas plataformas são bóias oceanográficas e veículos flutuantes não tripulados. O desenvolvimento destes equipamentos inclui não só a concepção, construção e otimização de suas estruturas, mas também os dispositivos de controle e automação, e o desenvolvimento de diferentes sensores a serem utilizados para o monitoramento. Todos os componentes serão realizados em código aberto e primando por componentes de baixo custo, visando a utilização dos produtos como popularização da ciência."
ALAN CARLOS JUNIOR ROSSETTO,Sistemas Ciber-Físicos Inteligentes para o Manejo Integrado de Pragas,Sistemas Ciber-Físicos Inteligentes para o Manejo Integrado de Pragas
ALAN CARLOS JUNIOR ROSSETTO,Sistemas Ciber-Físicos Inteligentes para o Manejo Integrado de Pragas,Pesquisa
ALAN CARLOS JUNIOR ROSSETTO,Sistemas Ciber-Físicos Inteligentes para o Manejo Integrado de Pragas,01/08/2021 - 31/07/2025
ALAN CARLOS JUNIOR ROSSETTO,Sistemas Ciber-Físicos Inteligentes para o Manejo Integrado de Pragas,Centro de Desenvolvimento Tecnológico
ALAN CARLOS JUNIOR ROSSETTO,Sistemas Ciber-Físicos Inteligentes para o Manejo Integrado de Pragas,PAULO ROBERTO FERREIRA JUNIOR
ALAN CARLOS JUNIOR ROSSETTO,Sistemas Ciber-Físicos Inteligentes para o Manejo Integrado de Pragas,Ciências Exatas e da Terra
ALAN CARLOS JUNIOR ROSSETTO,Sistemas Ciber-Físicos Inteligentes para o Manejo Integrado de Pragas,"O Manejo Integrado de Pragas (MIP) é uma técnica que consiste na integração de diferentes ferramentas de controle visando manter as pragas sempre abaixo do nível em que causam danos para as plantações. Este controle pode ser feito por meio de insetos (controle biológico), uso de inseticidas, retirada e queima da parte do vegetal afetada, entre outros. Sistemas Ciber-Físicos, do inglês Cyber-Physical Systems (CPS), é a denominação que passou recentemente a ser empregada para identificar uma grande gama de sistemas complexos, que envolvem conhecimentos multidisciplinares, e que integram sistemas computacionais embarcados interagindo com o mundo físico. O emprego de técnicas de inteligência artificial na computação embarcada nestes sistemas avança na caracterização de uma área de pesquisa atual que envolve redes de sensores sem fio, veículos aéreos não tripulados autônomos, internet das coisas, etc. Dois problemas específicos serão tratados no escopo deste projeto: o desenvolvimento e teste de armadilhas eletrônicas para o monitoramento on-line da população de insetos em plantações; e o estudo de técnicas de aplicação aérea de agentes de controle biológicos com o emprego de veículos aéreos não tripulados."
ALAN CARLOS JUNIOR ROSSETTO,PinguinBots: Liga Acadêmica de Robótica,PinguinBots: Liga Acadêmica de Robótica
ALAN CARLOS JUNIOR ROSSETTO,PinguinBots: Liga Acadêmica de Robótica,ENSINO
ALAN CARLOS JUNIOR ROSSETTO,PinguinBots: Liga Acadêmica de Robótica,25/08/2017 - 17/07/2020
ALAN CARLOS JUNIOR ROSSETTO,PinguinBots: Liga Acadêmica de Robótica,Centro de Desenvolvimento Tecnológico
ALAN CARLOS JUNIOR ROSSETTO,PinguinBots: Liga Acadêmica de Robótica,Ciências Exatas e da Terra - Ciência da Computação
ALAN CARLOS JUNIOR ROSSETTO,PinguinBots: Liga Acadêmica de Robótica,"Este projeto trata do Grupo de Estudos em robótica da UFPel. Ele da continuidade a um projeto que começou dentro do CDTec e agora já envolve mais duas Unidades Acadêmicas. Hoje o grupo possui o time PinguinBots que competir na Competição Brasileira de Robótica 2017.  A robótica é uma área de pesquisa interdisciplinar que emprega ferramentas, metodologias e tecnologias inerentes a Ciência da Computação e Engenharia de Computação. Este grupo pretende realizar estudos na área de robótica, empregando os conhecimentos adquiridos no curso no desenvolvimento de sistemas robóticos."
ALAN CARLOS JUNIOR ROSSETTO,Programa de Monitoria da UFPEL,Programa de Monitoria da UFPEL
ALAN CARLOS JUNIOR ROSSETTO,Programa de Monitoria da UFPEL,Ensino
ALAN CARLOS JUNIOR ROSSETTO,Programa de Monitoria da UFPEL,01/04/2019 - 01/02/2027
ALAN CARLOS JUNIOR ROSSETTO,Programa de Monitoria da UFPEL,Pró-Reitoria de Ensino
ALAN CARLOS JUNIOR ROSSETTO,Programa de Monitoria da UFPEL,CARLA PIRES TAVARES
ALAN CARLOS JUNIOR ROSSETTO,Programa de Monitoria da UFPEL,Ciências Humanas
ALAN CARLOS JUNIOR ROSSETTO,Programa de Monitoria da UFPEL,"A inserção do discente monitor nas atividades de ensino visa contribuir não só para a formação acadêmico-profissional do aluno, através da articulação entre teoria e prática, como também tem como propósito promover a melhoria da qualidade do processo de ensino e de aprendizagem no(s) componente(s) curricular(es) objeto da monitoria.
O atual Programa de Monitoria da UFPEL foi regulamentado através da Resolução nº 32, de 11 de outubro de 2018, do COCEPE, cabendo à Pró-Reitoria de Ensino estabelecer diretrizes complementares com o propósito de garantir o seu pleno funcionamento na Instituição."
ALAN CARLOS JUNIOR ROSSETTO,PinguimBots: Liga Acadêmica de Robótica,PinguimBots: Liga Acadêmica de Robótica
ALAN CARLOS JUNIOR ROSSETTO,PinguimBots: Liga Acadêmica de Robótica,Ensino
ALAN CARLOS JUNIOR ROSSETTO,PinguimBots: Liga Acadêmica de Robótica,01/06/2023 - 31/12/2024
ALAN CARLOS JUNIOR ROSSETTO,PinguimBots: Liga Acadêmica de Robótica,Centro de Desenvolvimento Tecnológico
ALAN CARLOS JUNIOR ROSSETTO,PinguimBots: Liga Acadêmica de Robótica,ALAN CARLOS JUNIOR ROSSETTO
ALAN CARLOS JUNIOR ROSSETTO,PinguimBots: Liga Acadêmica de Robótica,Ciências Exatas e da Terra
ALAN CARLOS JUNIOR ROSSETTO,PinguimBots: Liga Acadêmica de Robótica,"Este projeto detalha as atividades a serem desenvolvidas pela Liga Acadêmica de Robótica da UFPel - Equipe PinguimBots, a qual visa explorar a robótica como ferramenta didática para solidificar e aprofundar conhecimentos nas áreas de Computação e Engenharias."
ALAN CARLOS JUNIOR ROSSETTO,Projeto de Permanência e Qualidade Acadêmica dos Cursos de Computação,Projeto de Permanência e Qualidade Acadêmica dos Cursos de Computação
ALAN CARLOS JUNIOR ROSSETTO,Projeto de Permanência e Qualidade Acadêmica dos Cursos de Computação,Ensino
ALAN CARLOS JUNIOR ROSSETTO,Projeto de Permanência e Qualidade Acadêmica dos Cursos de Computação,01/06/2023 - 31/12/2024
ALAN CARLOS JUNIOR ROSSETTO,Projeto de Permanência e Qualidade Acadêmica dos Cursos de Computação,Centro de Desenvolvimento Tecnológico
ALAN CARLOS JUNIOR ROSSETTO,Projeto de Permanência e Qualidade Acadêmica dos Cursos de Computação,ALAN CARLOS JUNIOR ROSSETTO
ALAN CARLOS JUNIOR ROSSETTO,Projeto de Permanência e Qualidade Acadêmica dos Cursos de Computação,Ciências Exatas e da Terra
ALAN CARLOS JUNIOR ROSSETTO,Projeto de Permanência e Qualidade Acadêmica dos Cursos de Computação,Este projeto visa estabelecer as ações a serem desenvolvidas no âmbito do Programa de Permanência e Qualidade Acadêmica dos Cursos de Computação.
ALAN CARLOS JUNIOR ROSSETTO,PinguimBots: Liga Acadêmica de Robótica,PinguimBots: Liga Acadêmica de Robótica
ALAN CARLOS JUNIOR ROSSETTO,PinguimBots: Liga Acadêmica de Robótica,Ensino
ALAN CARLOS JUNIOR ROSSETTO,PinguimBots: Liga Acadêmica de Robótica,01/09/2020 - 30/08/2022
ALAN CARLOS JUNIOR ROSSETTO,PinguimBots: Liga Acadêmica de Robótica,Centro de Desenvolvimento Tecnológico
ALAN CARLOS JUNIOR ROSSETTO,PinguimBots: Liga Acadêmica de Robótica,ALAN CARLOS JUNIOR ROSSETTO
ALAN CARLOS JUNIOR ROSSETTO,PinguimBots: Liga Acadêmica de Robótica,Ciências Exatas e da Terra
ALAN CARLOS JUNIOR ROSSETTO,PinguimBots: Liga Acadêmica de Robótica,"Este projeto detalha as atividades a serem desenvolvidas pela Liga Acadêmica de Robótica da UFPel - Equipe PinguimBots, a qual visa explorar a robótica como ferramenta didática para solidificar e aprofundar conhecimentos nas áreas de Computação e Engenharias."
ALAN JOHN ALEXANDER MCBRIDE,Utilização de esporos de Bacillus spp. como sistema de entrega de antígenos vacinais,Utilização de esporos de Bacillus spp. como sistema de entrega de antígenos vacinais
ALAN JOHN ALEXANDER MCBRIDE,Utilização de esporos de Bacillus spp. como sistema de entrega de antígenos vacinais,PESQUISA
ALAN JOHN ALEXANDER MCBRIDE,Utilização de esporos de Bacillus spp. como sistema de entrega de antígenos vacinais,01/01/2020 - 01/01/2023
ALAN JOHN ALEXANDER MCBRIDE,Utilização de esporos de Bacillus spp. como sistema de entrega de antígenos vacinais,Centro de Desenvolvimento Tecnológico
ALAN JOHN ALEXANDER MCBRIDE,Utilização de esporos de Bacillus spp. como sistema de entrega de antígenos vacinais,FABIO PEREIRA LEIVAS LEITE
ALAN JOHN ALEXANDER MCBRIDE,Utilização de esporos de Bacillus spp. como sistema de entrega de antígenos vacinais,Ciências Biológicas - Imunologia - Imunologia Aplicada
ALAN JOHN ALEXANDER MCBRIDE,Utilização de esporos de Bacillus spp. como sistema de entrega de antígenos vacinais,"A vacinação é a medida profilática mais promissora e eficiente para o controle de doenças infecciosas. Vacinas recombinantes têm apresentado resultados promissores e são mais seguras quando comparadas a vacinas vivas atenuadas. No entanto, podem ser pouco imunogênicas, tornando necessário o uso de adjuvantes. O potencial do uso de esporos de bactérias do gênero Bacillus vem sendo avaliados como adjuvantes vacinais, pois os antígenos podem ser adsorvidos à superfície dos esporos em condições de baixo pH, por interações hidrofóbicas e eletrostáticas entre o esporo e o imunógeno. Dessa forma, o objetivo deste projeto é avaliar o efeito de uma vacina contra o BoHV-5, contendo a glicoproteína D recombinante como antígeno modelo, e o vírus inativado BoHV-5 adsorvidos à superfície de esporos de microrganismos Bacillus spp. em camundongos. Os animais serão vacinados com diferentes formulações vacinais contendo a glicoproteína D recombinante (rgD) e o vírus inativado BoHV-5 adsorvidos a esporos de Bacillus spp. A resposta imune humoral será avaliada através da técnica de ensaio imunoenzimático (ELISA) utilizando soros dos animais e a resposta celular será avaliada pela técnica de PCR em tempo real (qPCR) através da quantificação da expressão relativa de genes de citocinas de cultivo celular de esplenócitos."
ALAN JOHN ALEXANDER MCBRIDE,Vacinologia Reversa: localização de proteínas de superfície de Leptospira interrogans,Vacinologia Reversa: localização de proteínas de superfície de Leptospira interrogans
ALAN JOHN ALEXANDER MCBRIDE,Vacinologia Reversa: localização de proteínas de superfície de Leptospira interrogans,PESQUISA
ALAN JOHN ALEXANDER MCBRIDE,Vacinologia Reversa: localização de proteínas de superfície de Leptospira interrogans,01/01/2018 - 01/01/2023
ALAN JOHN ALEXANDER MCBRIDE,Vacinologia Reversa: localização de proteínas de superfície de Leptospira interrogans,Centro de Desenvolvimento Tecnológico
ALAN JOHN ALEXANDER MCBRIDE,Vacinologia Reversa: localização de proteínas de superfície de Leptospira interrogans,ALAN JOHN ALEXANDER MCBRIDE
ALAN JOHN ALEXANDER MCBRIDE,Vacinologia Reversa: localização de proteínas de superfície de Leptospira interrogans,Ciências Biológicas - Microbiologia - Microbiologia Aplicada
ALAN JOHN ALEXANDER MCBRIDE,Vacinologia Reversa: localização de proteínas de superfície de Leptospira interrogans,"A vacinologia reversa é um método que tem início em análises computacionais com o objetivo de identificar possíveis candidatos a vacinas no proteoma de organismos patogênicos. A vacinologia reversa tem sido aplicada principalmente a agentes patogênicos bacterianos para identificar proteínas que podem ser utilizadas em vacinas de subunidades, que consistem de uma ou mais proteínas antigênicas."
ALAN JOHN ALEXANDER MCBRIDE,Avaliação de novos alvos vacinais como vacina recombinante contra leptospirose,Avaliação de novos alvos vacinais como vacina recombinante contra leptospirose
ALAN JOHN ALEXANDER MCBRIDE,Avaliação de novos alvos vacinais como vacina recombinante contra leptospirose,PESQUISA
ALAN JOHN ALEXANDER MCBRIDE,Avaliação de novos alvos vacinais como vacina recombinante contra leptospirose,01/02/2019 - 31/12/2021
ALAN JOHN ALEXANDER MCBRIDE,Avaliação de novos alvos vacinais como vacina recombinante contra leptospirose,Centro de Desenvolvimento Tecnológico
ALAN JOHN ALEXANDER MCBRIDE,Avaliação de novos alvos vacinais como vacina recombinante contra leptospirose,ODIR ANTONIO DELLAGOSTIN
ALAN JOHN ALEXANDER MCBRIDE,Avaliação de novos alvos vacinais como vacina recombinante contra leptospirose,Ciências Agrárias - Medicina Veterinária - Medicina Veterinária Preventiva
ALAN JOHN ALEXANDER MCBRIDE,Avaliação de novos alvos vacinais como vacina recombinante contra leptospirose,"Causada por bactérias patogênicas do gênero Leptospira, a leptospirose é uma das zoonoses de maior distribuição mundial causando graves danos à saúde pública e significativas perdas econômicas em animais de produção. As vacinas comercialmente disponíveis para leptospirose consistem em preparações de células inteiras inativadas do microrganismo, que, embora sejam mundialmente aplicadas em cães, bovinos e suínos, induzem proteção de curta duração contra a doença e imunidade somente contra sorovares antigenicamente relacionados àqueles presentes na formulação vacinal. Além disso, tais limitações tornam estas vacinas suscetíveis para uso humano somente em alguns poucos países. Em vista disto, há a necessidade do desenvolvimento de vacinas mais efetivas que possam ser utilizadas para o controle da doença. Baseado nisto, neste trabalho estamos propondo a produção de vacinas recombinantes para leptospirose através da utilização de epítopos imunogênicos de OMPs com estrutura barril-β transmebrana com potencial imunoprotetor contra a doença. Estas construções consistem de três quimeras compostas pelas OMPs LIC12258, LIC10544 e LIC10539 (Quimera 1) LIC11366, LIC11975, LIC12252 e LIC11271 (Quimera 2) e LIC12693,
LIC11941, LIC12307, LIC13135 e LIC12990 (Quimera 3) e cinco proteínas sintetizadas
individualmente (GspD, FadL, OmpL68, OmpL72, OmpL94). A utilização dessa estratégia almeja reunir somente as porções expostas na membrana externa destas proteínas, as quais foram identificadas pela abordagem de Vacinologia Reversa e Estrutural. Para o desenvolvimento deste trabalho os genes serão quimicamente sintetizados e expressos em Escherichia coli. Após quantificação as proteínas recombinantes serão incoculadas em Ratos Wistar fêmeas para produção de soro policlonal, o qual será utilizado para posterior caracterização antigênica. As proteínas caracterizadas serão emulsificadas com adjuvante comercial para obtenção das vacinas recombinantes. A fim de avaliar a capacidade de proteção dessas novas formulações, hamsters serão imunizados com as vacinas recombinantes, em duas doses, seguido de desafio experimental com um inóculo letal de L. interrogans. Sangue será coletado para avaliar a resposta imune humoral. Amostras de rim, fígado e pulmão serão coletadas para avaliar a presença de lesões e indução de imunidade esterilizante."
ALAN JOHN ALEXANDER MCBRIDE,Vacina recombinante contra leptospirose: avaliação de complexo de poliproteínas imunogênicas,Vacina recombinante contra leptospirose: avaliação de complexo de poliproteínas imunogênicas
ALAN JOHN ALEXANDER MCBRIDE,Vacina recombinante contra leptospirose: avaliação de complexo de poliproteínas imunogênicas,PESQUISA
ALAN JOHN ALEXANDER MCBRIDE,Vacina recombinante contra leptospirose: avaliação de complexo de poliproteínas imunogênicas,01/10/2019 - 30/09/2022
ALAN JOHN ALEXANDER MCBRIDE,Vacina recombinante contra leptospirose: avaliação de complexo de poliproteínas imunogênicas,Centro de Desenvolvimento Tecnológico
ALAN JOHN ALEXANDER MCBRIDE,Vacina recombinante contra leptospirose: avaliação de complexo de poliproteínas imunogênicas,ODIR ANTONIO DELLAGOSTIN
ALAN JOHN ALEXANDER MCBRIDE,Vacina recombinante contra leptospirose: avaliação de complexo de poliproteínas imunogênicas,Ciências Agrárias - Medicina Veterinária - Medicina Veterinária Preventiva
ALAN JOHN ALEXANDER MCBRIDE,Vacina recombinante contra leptospirose: avaliação de complexo de poliproteínas imunogênicas,"Embora a vacinação seja a melhor forma de controle de doenças infecciosas, algumas vacinas disponíveis comercialmente possuem sérias limitações, pois não conseguem induzir proteção de longa duração, proteção contra um amplo espectro de variantes do agente infeccioso e de fácil produção. Este é o caso da vacina contra leptospirose, uma importante zoonose que causa severos prejuízos na produção agropecuária, bem como doença grave em animais de companhia e em humanos. Nosso grupo de pesquisa do Núcleo de Biotecnologia do CDTec vem trabalhando no desenvolvimento de vacinas recombinantes contra leptospirose há mais de 15 anos. Durante este período, avanços significativos foram alcançados. Dentro deste contexto, o objetivo deste projeto é dar continuidade ao trabalho de avaliação de novas preparações vacinais compostas por complexos de proteínas imunogênicas, as quais, em estudos preliminares, já demonstraram seu potencial imunoprotetor. Para isto as proteínas LipL32, LigA, LigB, OmpL68, OmpL72 e OmpL94 serão fusionadas a um complexo de proteínas carreadoras imunogênicas e co-expressas. As formulações vacinais obtidas serão administradas em hamsters (modelo suscetível à leptospirose) e sua capacidade protetora avaliada frente a desafio homólogo e heterólogo com cepa letal de Leptospira spp. Estes experimentos contarão com a cooperação técnica entre pesquisadores da UFPel, onde os mesmos serão conduzidos, e da empresa Ourofino Saúde Animal S.A, fornecedora de material e de tecnologia de expressão de complexo de proteínas imunogênicas. Os resultados que serão obtidos poderão gerar inovação tecnológica, da qual será requerida a proteção da propriedade intelectual através do depósito de patentes. Além disso, a execução do projeto possibilitará a formação de recursos humanos e a geração de conhecimento que será divulgado através de artigos científicos e de outros meios de divulgação científica."
